a1, a2, a3, a4, cl
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 21, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
12, 23, 31, 41, 51
12, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
12, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 21, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
11, 23, 31, 41, 51
11, 22, 31, 41, 51
13, 22, 32, 42, 52
13, 22, 32, 42, 52
13, 22, 33, 42, 52
11, 21, 32, 42, 52
13, 21, 32, 42, 52
12, 21, 32, 42, 52
13, 22, 32, 42, 52
11, 21, 32, 42, 52
13, 21, 32, 42, 52
11, 21, 32, 42, 52
11, 21, 32, 42, 52
12, 22, 32, 42, 52
12, 21, 32, 42, 52
12, 21, 32, 42, 52
12, 21, 32, 42, 52
13, 22, 32, 42, 52
12, 22, 32, 42, 52
12, 21, 32, 42, 52
13, 21, 32, 42, 52
12, 21, 32, 42, 52
12, 22, 33, 43, 52
12, 21, 32, 42, 52
13, 21, 33, 42, 52
12, 21, 32, 42, 52
13, 21, 32, 42, 52
13, 22, 32, 42, 52
13, 21, 33, 42, 52
13, 22, 33, 42, 52
12, 21, 32, 42, 52
12, 21, 32, 42, 52
11, 21, 32, 42, 52
11, 21, 32, 42, 52
12, 21, 32, 42, 52
12, 21, 33, 42, 52
11, 22, 32, 42, 52
12, 23, 32, 42, 52
13, 22, 32, 42, 52
13, 21, 32, 42, 52
12, 22, 32, 42, 52
11, 21, 32, 42, 52
11, 21, 32, 42, 52
12, 22, 32, 42, 52
12, 21, 32, 42, 52
11, 21, 32, 42, 52
12, 21, 32, 42, 52
12, 22, 32, 42, 52
12, 21, 32, 42, 52
13, 21, 32, 42, 52
11, 21, 32, 42, 52
12, 21, 32, 42, 52
13, 22, 33, 43, 53
12, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
11, 21, 32, 42, 53
13, 21, 33, 43, 53
13, 21, 33, 43, 53
13, 23, 33, 43, 53
13, 22, 33, 43, 53
13, 21, 33, 43, 53
13, 22, 33, 43, 53
12, 21, 33, 43, 53
12, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 23, 33, 43, 53
13, 21, 33, 43, 53
12, 21, 33, 42, 53
13, 22, 33, 43, 53
12, 21, 33, 43, 53
13, 21, 33, 43, 53
13, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 21, 33, 43, 53
12, 22, 33, 43, 53
13, 21, 33, 43, 53
13, 22, 33, 42, 53
13, 21, 33, 43, 53
13, 23, 33, 43, 53
13, 21, 33, 43, 53
13, 21, 33, 42, 53
12, 21, 33, 42, 53
13, 22, 33, 43, 53
13, 23, 33, 43, 53
13, 22, 33, 43, 53
12, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
12, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 22, 33, 43, 53
13, 21, 33, 43, 53
13, 22, 33, 43, 53
13, 23, 33, 43, 53
12, 22, 33, 43, 53
